"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_TYPE","RCS_SIZE","OBJECT_AGE","CENT_FOCUS_DIST"
14.94716745,0.0039716,98.0091,326.4754,86.1105,274.4653,6961.389,96.339,610.902,555.606,"DEBRIS","SMALL",23,27.6478525524
14.67836025,0.0048256,98.322,272.3213,167.3678,205.6162,7046.122,98.104,701.989,633.985,"DEBRIS","SMALL",23,34.0017663232
15.05504405,0.0030066,98.2287,331.9223,233.7272,254.0038,6928.095,95.649,570.79,529.13,"DEBRIS","SMALL",23,20.830010427
14.69833191,0.0239214,99.0041,243.851,135.1897,226.8902,7039.738,97.97,830.003,493.202,"DEBRIS","SMALL",23,168.4003885932
14.94463122,0.0025372,97.9783,315.5366,185.5757,174.5184,6962.177,96.356,601.706,566.377,"DEBRIS","SMALL",23,17.6644354844
14.90933516,0.0040819,97.9636,296.5648,291.9866,80.4094,6973.16,96.584,623.489,566.562,"DEBRIS","SMALL",23,28.463741804
14.90767139,0.0044147,98.0443,332.2998,19.8706,340.4219,6973.679,96.595,626.331,564.758,"DEBRIS","SMALL",23,30.7867006813
14.7208309,0.00453,98.3307,295.5173,115.0291,9.8617,7032.563,97.821,686.285,622.57,"DEBRIS","SMALL",23,31.85751039
15.14193519,0.002396,97.6508,324.2579,66.8891,293.4862,6901.565,95.1,539.966,506.894,"DEBRIS","SMALL",23,16.53614974
14.90787626,0.0044309,98.0423,20.4834,74.0194,286.5898,6973.615,96.593,626.38,564.581,"DEBRIS","SMALL",25,30.8993907035
15.01385685,0.0046595,97.9031,11.9009,176.7052,183.4487,6940.759,95.911,594.965,530.284,"DEBRIS","SMALL",25,32.3404665605
13.57358549,0.0042713,100.336,224.959,76.9729,298.1889,7423.444,106.088,1077.017,1013.602,"DEBRIS","SMALL",58,31.7077563572
14.88950638,0.0061837,67.9969,253.1233,48.4792,312.1629,6979.35,96.712,644.373,558.057,"DEBRIS","SMALL",24,43.158206595
14.292496,0.0026238,90.0947,344.5591,310.6572,49.2343,7172.377,100.752,813.061,775.423,"DEBRIS","SMALL",61,18.8188827726
10.8691257,0.1827084,120.6783,292.167,107.6805,273.114,8608.724,132.485,3803.475,657.703,"DEBRIS","SMALL",56,1572.8861880816
14.09787047,0.0010946,98.7172,296.8765,53.6663,318.9765,7238.238,102.143,868.026,852.18,"DEBRIS","SMALL",34,7.9229753148
5.94081885,0.48446,31.4716,322.1035,58.8935,347.9782,12877.68,242.391,12738.266,260.824,"DEBRIS","SMALL",27,6238.7208528
13.79437497,0.0207629,99.0646,67.3805,118.3135,243.9135,7344.02,104.39,1118.368,813.401,"DEBRIS","SMALL",26,152.483152858
14.51462248,0.0090191,98.5332,309.9014,176.4245,183.7614,7099.014,99.21,784.905,656.852,"DEBRIS","SMALL",25,64.0267171674
14.44582199,0.0079647,98.681,301.8863,236.3152,299.1375,7121.536,99.683,800.122,686.68,"DEBRIS","SMALL",25,56.7208977792
15.46126051,0.0020585,97.6799,152.0818,316.1808,43.7807,6806.208,93.136,442.084,414.063,"DEBRIS","SMALL",23,14.010579168
14.5104897,0.0034751,98.4382,281.0167,259.0891,274.0085,7100.362,99.239,746.901,697.552,"DEBRIS","SMALL",25,24.6744679862
15.11889184,0.0042795,97.7651,308.5329,58.4147,302.1249,6908.576,95.245,560.006,500.876,"DEBRIS","SMALL",23,29.565250992
12.93388275,0.0021844,90.275,328.325,348.7428,186.9236,7666.243,111.335,1304.854,1271.362,"DEBRIS","SMALL",59,16.7461412092
14.08422102,0.0032609,64.8241,45.7868,356.3651,3.7178,7242.913,102.242,888.397,841.16,"DEBRIS","SMALL",44,23.6184150017
